CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
1,56,Male,Premium,766,26,5,UPI,8,37,No
2,69,Female,Basic,430,2,0,Net Banking,2,39,No
3,46,Male,Basic,1073,23,9,Credit Card,1,20,Yes
4,32,Male,Premium,773,41,7,UPI,4,10,Yes
5,60,Female,Basic,439,22,1,UPI,4,10,No
6,25,Male,Enterprise,289,58,5,Credit Card,9,26,No
7,38,Male,Premium,431,34,8,UPI,3,25,Yes
8,56,Female,Premium,656,15,0,UPI,4,28,No
9,36,Male,Basic,432,10,5,Net Banking,3,13,No
10,40,Female,Premium,553,15,7,Net Banking,2,15,Yes
11,28,Female,Basic,1204,42,9,UPI,4,6,Yes
12,28,Female,Enterprise,1556,29,1,UPI,8,12,No
13,41,Female,Premium,638,57,4,Credit Card,1,19,No
14,53,Female,Basic,1598,23,5,Net Banking,8,32,No
15,57,Male,Basic,1515,59,4,Credit Card,8,11,No
16,41,Male,Basic,544,17,2,UPI,3,38,No
17,20,Female,Premium,863,9,3,Credit Card,10,33,No
18,39,Female,Basic,1651,50,6,UPI,10,2,No
19,19,Male,Premium,856,36,3,Net Banking,6,15,No
20,41,Female,Basic,329,9,8,Net Banking,4,36,Yes
21,61,Female,Premium,340,16,9,UPI,1,5,Yes
22,47,Female,Enterprise,614,36,1,Net Banking,1,15,No
23,55,Male,Premium,1316,48,4,UPI,5,43,No
24,19,Male,Premium,825,51,7,Credit Card,8,10,No
25,38,Female,Basic,483,33,4,UPI,1,17,No
26,50,Female,Basic,1878,55,9,Credit Card,2,34,Yes
27,29,Male,Premium,422,31,7,UPI,7,24,No
28,39,Male,Basic,943,6,7,Net Banking,8,10,No
29,61,Female,Basic,662,10,8,UPI,3,30,Yes
30,42,Female,Basic,1768,16,9,UPI,8,3,No
31,66,Male,Basic,1499,4,5,UPI,1,37,No
32,44,Male,Basic,1905,54,3,Net Banking,9,3,No
33,59,Male,Enterprise,1363,22,2,UPI,2,40,No
34,45,Female,Basic,556,13,4,Net Banking,2,5,No
35,33,Male,Premium,1936,16,5,UPI,4,28,No
36,32,Female,Basic,1246,52,2,Credit Card,10,44,No
37,64,Male,Premium,1959,29,1,UPI,3,14,No
38,68,Male,Basic,1493,6,6,Credit Card,4,39,Yes
39,61,Male,Enterprise,1058,26,4,Net Banking,6,11,No
40,69,Male,Enterprise,864,11,8,Net Banking,7,8,No
41,20,Female,Basic,1556,24,2,UPI,5,37,No
42,54,Female,Enterprise,1214,29,7,Net Banking,2,8,Yes
43,68,Male,Enterprise,284,3,5,UPI,3,12,No
44,24,Female,Enterprise,820,52,3,Net Banking,10,15,No
45,38,Male,Enterprise,1254,10,8,Credit Card,3,19,Yes
46,26,Male,Basic,1964,1,4,Net Banking,5,48,No
47,56,Male,Premium,439,52,9,Credit Card,5,46,No
48,35,Male,Basic,562,43,5,UPI,4,28,No
49,21,Female,Basic,1021,26,8,UPI,8,7,No
50,42,Male,Enterprise,1612,58,6,UPI,6,40,No
51,31,Male,Basic,1876,12,4,Credit Card,6,7,No
52,67,Female,Premium,867,14,1,UPI,1,30,No
53,26,Male,Enterprise,1522,25,3,UPI,6,18,No
54,43,Male,Enterprise,1594,8,1,Credit Card,3,24,No
55,19,Male,Enterprise,298,43,2,Net Banking,6,6,No
56,37,Female,Basic,246,4,9,UPI,10,4,No
57,45,Male,Basic,1038,28,2,Net Banking,6,3,No
58,64,Female,Basic,621,7,3,Net Banking,2,49,No
59,24,Male,Basic,1703,10,5,UPI,1,47,No
60,61,Male,Basic,1802,51,2,UPI,3,6,No
61,25,Female,Basic,261,57,9,Credit Card,5,26,No
62,64,Male,Premium,1332,58,0,Credit Card,4,44,No
63,52,Male,Premium,1902,36,0,UPI,7,38,No
64,31,Female,Basic,1772,2,8,Net Banking,4,11,Yes
65,34,Female,Premium,1342,26,8,Credit Card,8,29,No
66,53,Female,Basic,1209,53,4,Credit Card,7,20,No
67,67,Female,Basic,797,50,8,UPI,10,10,No
68,57,Female,Premium,1605,14,6,UPI,9,26,No
69,21,Male,Premium,591,58,8,UPI,1,48,Yes
70,19,Female,Premium,1176,16,6,UPI,5,27,No
71,23,Male,Basic,1275,54,8,Credit Card,4,14,Yes
72,59,Male,Enterprise,802,43,1,Credit Card,6,36,No
73,21,Male,Premium,1512,42,7,Credit Card,1,12,Yes
74,46,Female,Premium,536,17,6,Net Banking,6,23,No
75,35,Female,Premium,1009,46,5,Credit Card,1,21,No
76,43,Male,Enterprise,1427,22,4,Credit Card,1,8,No
77,61,Female,Premium,1461,4,3,UPI,8,39,No
78,51,Female,Premium,1605,19,6,Credit Card,2,9,Yes
79,27,Female,Enterprise,1890,2,2,Credit Card,10,24,No
80,53,Female,Premium,951,39,7,Credit Card,6,31,No
81,31,Male,Basic,1359,9,1,UPI,6,25,No
82,48,Male,Premium,1630,19,0,Credit Card,6,17,No
83,65,Female,Basic,1731,16,1,Credit Card,8,42,No
84,32,Male,Basic,1585,54,8,Net Banking,4,29,Yes
85,25,Female,Premium,1604,25,4,Net Banking,3,3,No
