CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
1,56,1,2,766,26,5,2,8,37,0
2,69,0,0,430,2,0,1,2,39,0
3,46,1,0,1073,23,9,0,1,20,1
4,32,1,2,773,41,7,2,4,10,1
5,60,0,0,439,22,1,2,4,10,0
6,25,1,1,289,58,5,0,9,26,0
7,38,1,2,431,34,8,2,3,25,1
8,56,0,2,656,15,0,2,4,28,0
9,36,1,0,432,10,5,1,3,13,0
10,40,0,2,553,15,7,1,2,15,1
11,28,0,0,1204,42,9,2,4,6,1
12,28,0,1,1556,29,1,2,8,12,0
13,41,0,2,638,57,4,0,1,19,0
14,53,0,0,1598,23,5,1,8,32,0
15,57,1,0,1515,59,4,0,8,11,0
16,41,1,0,544,17,2,2,3,38,0
17,20,0,2,863,9,3,0,10,33,0
18,39,0,0,1651,50,6,2,10,2,0
19,19,1,2,856,36,3,1,6,15,0
20,41,0,0,329,9,8,1,4,36,1
21,61,0,2,340,16,9,2,1,5,1
22,47,0,1,614,36,1,1,1,15,0
23,55,1,2,1316,48,4,2,5,43,0
24,19,1,2,825,51,7,0,8,10,0
25,38,0,0,483,33,4,2,1,17,0
26,50,0,0,1878,55,9,0,2,34,1
27,29,1,2,422,31,7,2,7,24,0
28,39,1,0,943,6,7,1,8,10,0
29,61,0,0,662,10,8,2,3,30,1
30,42,0,0,1768,16,9,2,8,3,0
31,66,1,0,1499,4,5,2,1,37,0
32,44,1,0,1905,54,3,1,9,3,0
33,59,1,1,1363,22,2,2,2,40,0
34,45,0,0,556,13,4,1,2,5,0
35,33,1,2,1936,16,5,2,4,28,0
36,32,0,0,1246,52,2,0,10,44,0
37,64,1,2,1959,29,1,2,3,14,0
38,68,1,0,1493,6,6,0,4,39,1
39,61,1,1,1058,26,4,1,6,11,0
40,69,1,1,864,11,8,1,7,8,0
41,20,0,0,1556,24,2,2,5,37,0
42,54,0,1,1214,29,7,1,2,8,1
43,68,1,1,284,3,5,2,3,12,0
44,24,0,1,820,52,3,1,10,15,0
45,38,1,1,1254,10,8,0,3,19,1
46,26,1,0,1964,1,4,1,5,48,0
47,56,1,2,439,52,9,0,5,46,0
48,35,1,0,562,43,5,2,4,28,0
49,21,0,0,1021,26,8,2,8,7,0
50,42,1,1,1612,58,6,2,6,40,0
51,31,1,0,1876,12,4,0,6,7,0
52,67,0,2,867,14,1,2,1,30,0
53,26,1,1,1522,25,3,2,6,18,0
54,43,1,1,1594,8,1,0,3,24,0
55,19,1,1,298,43,2,1,6,6,0
56,37,0,0,246,4,9,2,10,4,0
57,45,1,0,1038,28,2,1,6,3,0
58,64,0,0,621,7,3,1,2,49,0
59,24,1,0,1703,10,5,2,1,47,0
60,61,1,0,1802,51,2,2,3,6,0
61,25,0,0,261,57,9,0,5,26,0
62,64,1,2,1332,58,0,0,4,44,0
63,52,1,2,1902,36,0,2,7,38,0
64,31,0,0,1772,2,8,1,4,11,1
65,34,0,2,1342,26,8,0,8,29,0
66,53,0,0,1209,53,4,0,7,20,0
67,67,0,0,797,50,8,2,10,10,0
68,57,0,2,1605,14,6,2,9,26,0
69,21,1,2,591,58,8,2,1,48,1
70,19,0,2,1176,16,6,2,5,27,0
71,23,1,0,1275,54,8,0,4,14,1
72,59,1,1,802,43,1,0,6,36,0
73,21,1,2,1512,42,7,0,1,12,1
74,46,0,2,536,17,6,1,6,23,0
75,35,0,2,1009,46,5,0,1,21,0
76,43,1,1,1427,22,4,0,1,8,0
77,61,0,2,1461,4,3,2,8,39,0
78,51,0,2,1605,19,6,0,2,9,1
79,27,0,1,1890,2,2,0,10,24,0
80,53,0,2,951,39,7,0,6,31,0
81,31,1,0,1359,9,1,2,6,25,0
82,48,1,2,1630,19,0,0,6,17,0
83,65,0,0,1731,16,1,0,8,42,0
84,32,1,0,1585,54,8,1,4,29,1
85,25,0,2,1604,25,4,1,3,3,0
86,31,0,1,1080,48,7,1,6,21,0
87,40,1,1,1799,18,2,1,4,8,0
88,57,1,0,834,23,6,2,2,14,1
89,38,1,2,453,53,1,1,6,39,0
90,33,0,0,1700,21,7,0,10,16,0
91,62,1,1,1337,11,6,1,5,18,0
92,35,0,1,219,39,4,2,9,31,0
93,64,1,2,727,41,3,1,6,11,0
94,41,1,1,1368,4,0,1,3,38,0
95,43,0,2,1431,25,4,2,5,20,0
96,42,0,2,1754,32,8,2,10,46,0
97,62,0,0,575,30,9,2,8,45,0
98,58,0,0,1727,45,3,2,9,4,0
99,46,0,2,365,59,8,2,8,20,0
100,32,0,2,1773,26,1,2,3,31,0
101,62,0,0,1404,57,3,0,9,20,0
102,18,0,1,1060,36,8,1,3,11,1
103,42,1,0,816,51,3,1,8,1,0
104,24,0,2,811,34,4,2,10,44,0
105,26,0,2,1825,9,7,2,9,18,0
106,41,1,2,1667,12,0,0,7,39,0
107,18,0,2,1555,2,0,0,4,44,0
108,61,1,0,702,38,8,2,10,33,0
109,25,1,0,1112,5,8,0,9,36,0
110,41,0,2,278,5,3,0,3,18,0
111,28,1,2,784,52,1,2,3,47,0
112,68,0,0,887,22,8,2,2,31,1
113,34,1,2,595,5,3,2,10,35,0
114,25,1,0,1831,59,5,2,3,39,0
115,52,1,2,1326,4,0,1,1,38,0
116,52,0,1,601,9,8,1,4,15,1
117,50,0,0,1174,29,4,2,8,47,0
118,22,1,0,423,22,2,0,5,6,0
119,59,1,2,717,27,3,2,2,8,0
120,56,0,2,833,10,0,1,3,40,0
121,58,0,2,435,16,8,0,1,22,1
